NewQuestion,MC,,,
ID,ElisaDemo_32,,,
Title,Modulo,,,
QuestionText,What is the value of \( 43 \pmod {7} \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,\(4\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,100,\(1\),,Nice work.
Option,0,\(3\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(6\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(5\),,Just remove all multiples of the divisor while the result remains non-negative.
Hint,"Recall that the modulo operator refers to the residue of an integer division. In programming, the percent sign is often used to signify this operation.",,,
Feedback,"Much of cryptography is based on modular arithmetic, but it is also handy for programmers in general.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_33,,,
Title,Modulo,,,
QuestionText,What is the value of \( 25 \pmod {14} \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,\(13\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,100,\(11\),,Nice work.
Option,0,\(2\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(4\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(12\),,Just remove all multiples of the divisor while the result remains non-negative.
Hint,"Recall that the modulo operator refers to the residue of an integer division. In programming, the percent sign is often used to signify this operation.",,,
Feedback,"Much of cryptography is based on modular arithmetic, but it is also handy for programmers in general.",,,
,,,,
,,,,
NewQuestion,MC,,,
ID,ElisaDemo_34,,,
Title,Modulo,,,
QuestionText,What is the value of \( 38 \pmod {13} \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
Option,0,\(6\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(9\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(0\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,0,\(7\),,Just remove all multiples of the divisor while the result remains non-negative.
Option,100,\(12\),,Nice work.
Hint,"Recall that the modulo operator refers to the residue of an integer division. In programming, the percent sign is often used to signify this operation.",,,
