NewQuestion,SA,,,
ID,ElisaDemo_2,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_4 400\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,4,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_3,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_8 507\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,2,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_4,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_4 903\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,4,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_5,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lceil \log_3 501\rceil \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,6,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_6,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_6 156\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,2,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_7,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lceil \log_6 466\rceil \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,4,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_8,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_5 952\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,4,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_9,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lceil \log_6 971\rceil \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,4,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_10,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_4 122\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,3,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
NewQuestion,SA,,,
ID,ElisaDemo_11,,,
Title,Logarithm,,,
QuestionText,What is the integer value of \( \lfloor \log_8 940\rfloor \)?,,,
Pts,1,,,
Difficulty,1,,,
Image,,,,
InputBox,1,3,,
Answer,100,3,,
Hint,"Think of which power of the base is the closest to the number. Remember to use the correct rounding rule to deal with any potential decimal places. Type only the digits of your answer as your response with no additional information.",,,
Feedback,"Being able to estimate logarithms in arbitrary bases, especially without recurring to a calculator, is an important skill for a programmer.",,,
,,,,
,,,,
